Year,Category,Nominee
1987 (60th),Writing,The Last Emperor
1987 (60th),Writing,Moonstruck
1987 (60th),Irving G. Thalberg Memorial Award,Billy Wilder
1986 (59th),Actor -- Leading Role,Paul Newman
1986 (59th),Actor -- Supporting Role,Michael Caine
1986 (59th),Actress -- Leading Role,Marlee Matlin
1986 (59th),Actress -- Supporting Role,Dianne Wiest
1986 (59th),Art Direction,A Room with a View
1986 (59th),Cinematography,The Mission
1986 (59th),Costume Design,A Room with a View
1986 (59th),Directing,Platoon
1986 (59th),Documentary (Feature),Artie Shaw: Time Is All You've Got
1986 (59th),Documentary (Feature),Down and Out in America
1986 (59th),Documentary (Short Subject),"Women--for America, for the World"
1986 (59th),Film Editing,Platoon
1986 (59th),Foreign Language Film,The Assault
1986 (59th),Makeup,The Fly
1986 (59th),Music (Scoring),'Round Midnight
1986 (59th),Music (Song),Top Gun
1986 (59th),Best Picture,Platoon
1986 (59th),Short Film (Animated),A Greek Tragedy
1986 (59th),Short Film (Live Action),Precious Images
1986 (59th),Sound,Platoon
1986 (59th),Sound Editing,Aliens
1986 (59th),Visual Effects,Aliens
1986 (59th),Writing,A Room with a View
1986 (59th),Writing,Hannah and Her Sisters
1986 (59th),Irving G. Thalberg Memorial Award,Steven Spielberg
1985 (58th),Actor -- Leading Role,William Hurt
1985 (58th),Actor -- Supporting Role,Don Ameche
1985 (58th),Actress -- Leading Role,Geraldine Page
1985 (58th),Actress -- Supporting Role,Anjelica Huston
1985 (58th),Art Direction,Out of Africa
1985 (58th),Cinematography,Out of Africa
1985 (58th),Costume Design,Ran
1985 (58th),Directing,Out of Africa
1985 (58th),Documentary (Feature),Broken Rainbow
1985 (58th),Documentary (Short Subject),Witness to War: Dr. Charlie Clements
1985 (58th),Film Editing,Witness
1985 (58th),Foreign Language Film,The Official Story
1985 (58th),Makeup,Mask
1985 (58th),Music (Scoring),Out of Africa
1985 (58th),Music (Song),White Nights
1985 (58th),Best Picture,Out of Africa
1985 (58th),Short Film (Animated),Anna & Bella
1985 (58th),Short Film (Live Action),Molly's Pilgrim
1985 (58th),Sound,Out of Africa
1985 (58th),Sound Editing,Back to the Future
1985 (58th),Visual Effects,Cocoon
1985 (58th),Writing,Out of Africa
1985 (58th),Writing,Witness
1984 (57th),Actor -- Leading Role,F. Murray Abraham
1984 (57th),Actor -- Supporting Role,Haing S. Ngor
1984 (57th),Actress -- Leading Role,Sally Field
1984 (57th),Actress -- Supporting Role,Peggy Ashcroft
1984 (57th),Art Direction,Amadeus
1984 (57th),Cinematography,The Killing Fields
1984 (57th),Costume Design,Amadeus
1984 (57th),Directing,Amadeus
1984 (57th),Documentary (Feature),The Times of Harvey Milk
1984 (57th),Documentary (Short Subject),The Stone Carvers
1984 (57th),Film Editing,The Killing Fields
1984 (57th),Foreign Language Film,Dangerous Moves
1984 (57th),Makeup,Amadeus
1984 (57th),Music (Scoring),A Passage to India
1984 (57th),Music (Scoring),Purple Rain
1984 (57th),Music (Song),The Woman in Red
1984 (57th),Best Picture,Amadeus
1984 (57th),Short Film (Animated),Charade
1984 (57th),Short Film (Live Action),Up
1984 (57th),Sound,Amadeus
1984 (57th),Sound Editing,The River
1984 (57th),Visual Effects,Indiana Jones and the Temple of Doom
1984 (57th),Writing,Amadeus
1984 (57th),Writing,Places in the Heart
1983 (56th),Actor -- Leading Role,Robert Duvall
1983 (56th),Actor -- Supporting Role,Jack Nicholson
1983 (56th),Actress -- Leading Role,Shirley MacLaine
1983 (56th),Actress -- Supporting Role,Linda Hunt
1983 (56th),Art Direction,Fanny & Alexander
1983 (56th),Cinematography,Fanny & Alexander
1983 (56th),Costume Design,Fanny & Alexander
1983 (56th),Directing,Terms of Endearment
1983 (56th),Documentary (Feature),He Makes Me Feel Like Dancin'
1983 (56th),Documentary (Short Subject),Flamenco at 5:15
1983 (56th),Film Editing,The Right Stuff
1983 (56th),Foreign Language Film,Fanny & Alexander
1983 (56th),Music (Scoring),The Right Stuff
1983 (56th),Music (Scoring),Yentl
1983 (56th),Music (Song),Flashdance
1983 (56th),Best Picture,Terms of Endearment
1983 (56th),Short Film (Animated),Sundae in New York
1983 (56th),Short Film (Live Action),Boys and Girls
1983 (56th),Sound,The Right Stuff
1983 (56th),Sound Editing,The Right Stuff
1983 (56th),Visual Effects,Return of the Jedi
1983 (56th),Writing,Terms of Endearment
1983 (56th),Writing,Tender Mercies
1982 (55th),Actor -- Leading Role,Ben Kingsley
1982 (55th),Actor -- Supporting Role,"Louis Gossett, Jr."
1982 (55th),Actress -- Leading Role,Meryl Streep
1982 (55th),Actress -- Supporting Role,Jessica Lange
1982 (55th),Art Direction,Gandhi
1982 (55th),Cinematography,Gandhi
1982 (55th),Costume Design,Gandhi
1982 (55th),Directing,Gandhi
1982 (55th),Documentary (Feature),Just Another Missing Kid
1982 (55th),Documentary (Short Subject),If You Love This Planet
1982 (55th),Film Editing,Gandhi
1982 (55th),Foreign Language Film,Volver a Empezar ('To Begin Again')
1982 (55th),Makeup,Quest for Fire
1982 (55th),Music (Scoring),E.T. The Extra-Terrestrial
1982 (55th),Music (Scoring),Victor/Victoria
1982 (55th),Music (Song),An Officer and a Gentleman
1982 (55th),Best Picture,Gandhi
1982 (55th),Short Film (Animated),Tango
1982 (55th),Short Film (Live Action),A Shocking Accident
1982 (55th),Sound,E.T. The Extra-Terrestrial
1982 (55th),Sound Editing,E.T. The Extra-Terrestrial
1982 (55th),Visual Effects,E.T. The Extra-Terrestrial
1982 (55th),Writing,Missing
1982 (55th),Writing,Gandhi
1981 (54th),Actor -- Leading Role,Henry Fonda
1981 (54th),Actor -- Supporting Role,John Gielgud
1981 (54th),Actress -- Leading Role,Katharine Hepburn
1981 (54th),Actress -- Supporting Role,Maureen Stapleton
1981 (54th),Art Direction,Raiders of the Lost Ark
1981 (54th),Cinematography,Reds
1981 (54th),Costume Design,Chariots of Fire
1981 (54th),Directing,Reds
1981 (54th),Documentary (Feature),Genocide
1981 (54th),Documentary (Short Subject),Close Harmony
1981 (54th),Film Editing,Raiders of the Lost Ark
1981 (54th),Foreign Language Film,Mephisto
1981 (54th),Makeup,An American Werewolf in London
1981 (54th),Music (Scoring),Chariots of Fire
1981 (54th),Music (Song),Arthur
1981 (54th),Best Picture,Chariots of Fire
1981 (54th),Short Film (Animated),Crac
1981 (54th),Short Film (Live Action),Violet
1981 (54th),Sound,Raiders of the Lost Ark
1981 (54th),Sound Editing,Raiders of the Lost Ark
1981 (54th),Visual Effects,Raiders of the Lost Ark
1981 (54th),Writing,On Golden Pond
1981 (54th),Writing,Chariots of Fire
1981 (54th),Irving G. Thalberg Memorial Award,Albert R. Broccoli
1980 (53rd),Actor -- Leading Role,Robert De Niro
1980 (53rd),Actor -- Supporting Role,Timothy Hutton
1980 (53rd),Actress -- Leading Role,Sissy Spacek
1980 (53rd),Actress -- Supporting Role,Mary Steenburgen
1980 (53rd),Art Direction,Tess
1980 (53rd),Cinematography,Tess
1980 (53rd),Costume Design,Tess
1980 (53rd),Directing,Ordinary People
1980 (53rd),Documentary (Feature),From Mao to Mozart: Isaac Stern in China
1980 (53rd),Documentary (Short Subject),Karl Hess: Toward Liberty
1980 (53rd),Film Editing,Raging Bull
1980 (53rd),Foreign Language Film,Moscow Does Not Believe in Tears
1980 (53rd),Music (Scoring),Fame
1980 (53rd),Music (Song),Fame
1980 (53rd),Best Picture,Ordinary People
1980 (53rd),Short Film (Animated),The Fly
1980 (53rd),Short Film (Live Action),The Dollar Bottom
1980 (53rd),Sound,The Empire Strikes Back
1980 (53rd),Visual Effects,The Empire Strikes Back
1980 (53rd),Writing,Ordinary People
1980 (53rd),Writing,Melvin and Howard
1979 (52nd),Actor -- Leading Role,Dustin Hoffman
1979 (52nd),Actor -- Supporting Role,Melvyn Douglas
1979 (52nd),Actress -- Leading Role,Sally Field
1979 (52nd),Actress -- Supporting Role,Meryl Streep
1979 (52nd),Art Direction,All That Jazz
1979 (52nd),Cinematography,Apocalypse Now
1979 (52nd),Costume Design,All That Jazz
1979 (52nd),Directing,Kramer vs. Kramer
1979 (52nd),Documentary (Feature),Best Boy
1979 (52nd),Documentary (Short Subject),Paul Robeson: Tribute to an Artist
1979 (52nd),Film Editing,All That Jazz
1979 (52nd),Foreign Language Film,The Tin Drum
1979 (52nd),Music (Scoring),A Little Romance
1979 (52nd),Music (Scoring),All That Jazz
1979 (52nd),Music (Song),Norma Rae
1979 (52nd),Best Picture,Kramer vs. Kramer
1979 (52nd),Short Film (Animated),Every Child
1979 (52nd),Short Film (Live Action),Board and Care
1979 (52nd),Sound,Apocalypse Now
1979 (52nd),Sound Editing,The Black Stallion
1979 (52nd),Visual Effects,Alien
1979 (52nd),Writing,Kramer vs. Kramer
1979 (52nd),Writing,Breaking Away
1979 (52nd),Irving G. Thalberg Memorial Award,Ray Stark
1978 (51st),Actor -- Leading Role,Jon Voight
1978 (51st),Actor -- Supporting Role,Christopher Walken
1978 (51st),Actress -- Leading Role,Jane Fonda
1978 (51st),Actress -- Supporting Role,Maggie Smith
1978 (51st),Art Direction,Heaven Can Wait
1978 (51st),Cinematography,Days of Heaven
1978 (51st),Costume Design,Death on the Nile
1978 (51st),Directing,The Deer Hunter
1978 (51st),Documentary (Feature),Scared Straight!
1978 (51st),Documentary (Short Subject),The Flight of the Gossamer Condor
1978 (51st),Film Editing,The Deer Hunter
1978 (51st),Foreign Language Film,Get Out Your Handkerchiefs
1978 (51st),Music (Scoring),The Buddy Holly Story
1978 (51st),Music (Scoring),Midnight Express
1978 (51st),Music (Song),Thank God It's Friday
1978 (51st),Best Picture,The Deer Hunter
1978 (51st),Short Film (Animated),Special Delivery
1978 (51st),Short Film (Live Action),Teenage Father
1978 (51st),Sound,The Deer Hunter
1978 (51st),Visual Effects,Superman
1978 (51st),Writing,Midnight Express
1978 (51st),Writing,Coming Home
1977 (50th),Actor -- Leading Role,Richard Dreyfuss
1977 (50th),Actor -- Supporting Role,Jason Robards
1977 (50th),Actress -- Leading Role,Diane Keaton
1977 (50th),Actress -- Supporting Role,Vanessa Redgrave
1977 (50th),Art Direction,Star Wars
1977 (50th),Cinematography,Close Encounters of the Third Kind
1977 (50th),Costume Design,Star Wars
1977 (50th),Directing,Annie Hall
1977 (50th),Documentary (Feature),Who Are the DeBolts? And Where Did They Get Nineteen Kids?
1977 (50th),Documentary (Short Subject),Gravity Is My Enemy
1977 (50th),Film Editing,Star Wars
1977 (50th),Foreign Language Film,Madame Rosa
1977 (50th),Music (Scoring),Star Wars
1977 (50th),Music (Scoring),A Little Night Music
1977 (50th),Music (Song),You Light Up My Life
1977 (50th),Best Picture,Annie Hall
1977 (50th),Short Film (Animated),The Sand Castle
1977 (50th),Short Film (Live Action),I'll Find a Way
1977 (50th),Sound,Star Wars
1977 (50th),Sound Editing,Close Encounters of the Third Kind
1977 (50th),Visual Effects,Star Wars
1977 (50th),Writing,Julia
1977 (50th),Writing,Annie Hall
1977 (50th),Irving G. Thalberg Memorial Award,Walter Mirisch
1976 (49th),Actor -- Leading Role,Peter Finch
1976 (49th),Actor -- Supporting Role,Jason Robards
1976 (49th),Actress -- Leading Role,Faye Dunaway
1976 (49th),Actress -- Supporting Role,Beatrice Straight
1976 (49th),Art Direction,All the President's Men
1976 (49th),Cinematography,Bound for Glory
1976 (49th),Costume Design,Fellini's Casanova
1976 (49th),Directing,Rocky
1976 (49th),Documentary (Feature),"Harlan County, U.S.A."
1976 (49th),Documentary (Short Subject),Number Our Days
1976 (49th),Film Editing,Rocky
1976 (49th),Foreign Language Film,Black and White in Color
1976 (49th),Music (Scoring),The Omen
1976 (49th),Music (Scoring),Bound for Glory
1976 (49th),Music (Song),A Star Is Born
1976 (49th),Best Picture,Rocky
1976 (49th),Short Film (Animated),Leisure
1976 (49th),Short Film (Live Action),In the Region of Ice
1976 (49th),Sound,All the President's Men
1976 (49th),Visual Effects,King Kong
1976 (49th),Visual Effects,Logan's Run
1976 (49th),Writing,All the President's Men
1976 (49th),Writing,Network
1976 (49th),Irving G. Thalberg Memorial Award,Pandro S. Berman
1975 (48th),Actor -- Leading Role,Jack Nicholson
1975 (48th),Actor -- Supporting Role,George Burns
1975 (48th),Actress -- Leading Role,Louise Fletcher
1975 (48th),Actress -- Supporting Role,Lee Grant
1975 (48th),Art Direction,Barry Lyndon
1975 (48th),Cinematography,Barry Lyndon
1975 (48th),Costume Design,Barry Lyndon
1975 (48th),Directing,One Flew over the Cuckoo's Nest
1975 (48th),Documentary (Feature),The Man Who Skied down Everest
1975 (48th),Documentary (Short Subject),The End of the Game
1975 (48th),Film Editing,Jaws
1975 (48th),Foreign Language Film,Dersu Uzala
1975 (48th),Music (Scoring),Jaws
1975 (48th),Music (Scoring),Barry Lyndon
1975 (48th),Music (Song),Nashville
1975 (48th),Best Picture,One Flew over the Cuckoo's Nest
1975 (48th),Short Film (Animated),Great
1975 (48th),Short Film (Live Action),Angel and Big Joe
1975 (48th),Sound,Jaws
1975 (48th),Sound Editing,The Hindenburg
1975 (48th),Visual Effects,The Hindenburg
1975 (48th),Writing,Dog Day Afternoon
1975 (48th),Writing,One Flew over the Cuckoo's Nest
1975 (48th),Irving G. Thalberg Memorial Award,Mervyn LeRoy
1974 (47th),Actor -- Leading Role,Art Carney
1974 (47th),Actor -- Supporting Role,Robert De Niro
1974 (47th),Actress -- Leading Role,Ellen Burstyn
1974 (47th),Actress -- Supporting Role,Ingrid Bergman
1974 (47th),Art Direction,The Godfather Part II
1974 (47th),Cinematography,The Towering Inferno
1974 (47th),Costume Design,The Great Gatsby
1974 (47th),Directing,The Godfather Part II
1974 (47th),Documentary (Feature),Hearts and Minds
1974 (47th),Documentary (Short Subject),Don't
1974 (47th),Film Editing,The Towering Inferno
1974 (47th),Foreign Language Film,Amarcord
1974 (47th),Music (Scoring),The Godfather Part II
1974 (47th),Music (Scoring),The Great Gatsby
1974 (47th),Music (Song),The Towering Inferno
1974 (47th),Best Picture,The Godfather Part II
1974 (47th),Short Film (Animated),Closed Mondays
1974 (47th),Short Film (Live Action),One-Eyed Men Are Kings
1974 (47th),Sound,Earthquake
1974 (47th),Visual Effects,Earthquake
1974 (47th),Writing,Chinatown
1974 (47th),Writing,The Godfather Part II
1973 (46th),Actor -- Leading Role,Jack Lemmon
1973 (46th),Actor -- Supporting Role,John Houseman
1973 (46th),Actress -- Leading Role,Glenda Jackson
1973 (46th),Actress -- Supporting Role,Tatum O'Neal
1973 (46th),Art Direction,The Sting
1973 (46th),Cinematography,Cries and Whispers
1973 (46th),Costume Design,The Sting
1973 (46th),Directing,The Sting
1973 (46th),Documentary (Feature),The Great American Cowboy
1973 (46th),Documentary (Short Subject),Princeton: A Search for Answers
1973 (46th),Film Editing,The Sting
1973 (46th),Foreign Language Film,Day for Night
1973 (46th),Music (Scoring),The Way We Were
1973 (46th),Music (Scoring),The Sting
1973 (46th),Music (Song),The Way We Were
1973 (46th),Best Picture,The Sting
1973 (46th),Short Film (Animated),Frank Film
1973 (46th),Short Film (Live Action),The Bolero
1973 (46th),Sound,The Exorcist
1973 (46th),Writing,The Exorcist
1973 (46th),Writing,The Sting
1973 (46th),Irving G. Thalberg Memorial Award,Lawrence Weingarten
1972 (45th),Actor -- Leading Role,Marlon Brando
1972 (45th),Actor -- Supporting Role,Joel Grey
1972 (45th),Actress -- Leading Role,Liza Minnelli
1972 (45th),Actress -- Supporting Role,Eileen Heckart
1972 (45th),Art Direction,Cabaret
1972 (45th),Cinematography,Cabaret
1972 (45th),Costume Design,Travels with My Aunt
1972 (45th),Directing,Cabaret
1972 (45th),Documentary (Feature),Marjoe
1972 (45th),Documentary (Short Subject),This Tiny World
1972 (45th),Film Editing,Cabaret
1972 (45th),Foreign Language Film,The Discreet Charm of the Bourgeoisie
1972 (45th),Music (Scoring),Limelight
1972 (45th),Music (Scoring),Cabaret
1972 (45th),Music (Song),The Poseidon Adventure
1972 (45th),Best Picture,The Godfather
1972 (45th),Short Film (Animated),A Christmas Carol
1972 (45th),Short Film (Live Action),Norman Rockwell's World...An American Dream
1972 (45th),Sound,Cabaret
1972 (45th),Visual Effects,The Poseidon Adventure
1972 (45th),Writing,The Godfather
1972 (45th),Writing,The Candidate
1971 (44th),Actor -- Leading Role,Gene Hackman
1971 (44th),Actor -- Supporting Role,Ben Johnson
1971 (44th),Actress -- Leading Role,Jane Fonda
1971 (44th),Actress -- Supporting Role,Cloris Leachman
1971 (44th),Art Direction,Nicholas and Alexandra
1971 (44th),Cinematography,Fiddler on the Roof
1971 (44th),Costume Design,Nicholas and Alexandra
1971 (44th),Directing,The French Connection
1971 (44th),Documentary (Feature),The Hellstrom Chronicle
1971 (44th),Documentary (Short Subject),Sentinels of Silence
1971 (44th),Film Editing,The French Connection
1971 (44th),Foreign Language Film,The Garden of the Finzi Continis
1971 (44th),Music (Scoring),Summer of '42
1971 (44th),Music (Scoring),Fiddler on the Roof
1971 (44th),Music (Song),Shaft
1971 (44th),Best Picture,The French Connection
1971 (44th),Short Film (Animated),The Crunch Bird
1971 (44th),Short Film (Live Action),Sentinels of Silence
1971 (44th),Sound,Fiddler on the Roof
1971 (44th),Visual Effects,Bedknobs and Broomsticks
1971 (44th),Writing,The French Connection
1971 (44th),Writing,The Hospital
1970 (43rd),Actor -- Leading Role,George C. Scott
1970 (43rd),Actor -- Supporting Role,John Mills
1970 (43rd),Actress -- Leading Role,Glenda Jackson
1970 (43rd),Actress -- Supporting Role,Helen Hayes
1970 (43rd),Art Direction,Patton
1970 (43rd),Cinematography,Ryan's Daughter
1970 (43rd),Costume Design,Cromwell
1970 (43rd),Directing,Patton
1970 (43rd),Documentary (Feature),Woodstock
1970 (43rd),Documentary (Short Subject),Interviews with My Lai Veterans
1970 (43rd),Film Editing,Patton
1970 (43rd),Foreign Language Film,Investigation of a Citizen above Suspicion
1970 (43rd),Music (Scoring),Love Story
1970 (43rd),Music (Scoring),Let It Be
1970 (43rd),Music (Song),Lovers and Other Strangers
1970 (43rd),Best Picture,Patton
1970 (43rd),Short Film (Animated),Is It Always Right to Be Right?
1970 (43rd),Short Film (Live Action),The Resurrection of Broncho Billy
1970 (43rd),Sound,Patton
1970 (43rd),Visual Effects,Tora! Tora! Tora!
1970 (43rd),Writing,M*A*S*H
1970 (43rd),Writing,Patton
1970 (43rd),Irving G. Thalberg Memorial Award,Ingmar Bergman
1969 (42nd),Actor -- Leading Role,John Wayne
1969 (42nd),Actor -- Supporting Role,Gig Young
1969 (42nd),Actress -- Leading Role,Maggie Smith
1969 (42nd),Actress -- Supporting Role,Goldie Hawn
1969 (42nd),Art Direction,"Hello, Dolly!"
1969 (42nd),Cinematography,Butch Cassidy and the Sundance Kid
1969 (42nd),Costume Design,Anne of the Thousand Days
1969 (42nd),Directing,Midnight Cowboy
1969 (42nd),Documentary (Feature),Arthur Rubinstein - The Love of Life
1969 (42nd),Documentary (Short Subject),Czechoslovakia 1968
1969 (42nd),Film Editing,Z
1969 (42nd),Foreign Language Film,Z
1969 (42nd),Music (Scoring),Butch Cassidy and the Sundance Kid
1969 (42nd),Music (Scoring),"Hello, Dolly!"
1969 (42nd),Music (Song),Butch Cassidy and the Sundance Kid
1969 (42nd),Best Picture,Midnight Cowboy
1969 (42nd),Short Film (Animated),It's Tough to Be a Bird
1969 (42nd),Short Film (Live Action),The Magic Machines
1969 (42nd),Sound,"Hello, Dolly!"
1969 (42nd),Visual Effects,Marooned
1969 (42nd),Writing,Midnight Cowboy
1969 (42nd),Writing,Butch Cassidy and the Sundance Kid
1968 (41st),Actor -- Leading Role,Cliff Robertson
1968 (41st),Actor -- Supporting Role,Jack Albertson
1968 (41st),Actress -- Leading Role,Katharine Hepburn
1968 (41st),Actress -- Leading Role,Barbra Streisand
1968 (41st),Actress -- Supporting Role,Ruth Gordon
1968 (41st),Art Direction,Oliver!
1968 (41st),Cinematography,Romeo and Juliet
1968 (41st),Costume Design,Romeo and Juliet
1968 (41st),Directing,Oliver!
1968 (41st),Documentary (Feature),Journey into Self
1968 (41st),Documentary (Short Subject),Why Man Creates
1968 (41st),Film Editing,Bullitt
1968 (41st),Foreign Language Film,War and Peace
1968 (41st),Makeup,To John Chambers for his outstanding makeup achievement for Planet of the Apes.
1968 (41st),Music (Scoring),The Lion in Winter
1968 (41st),Music (Scoring),Oliver!
1968 (41st),Music (Song),The Thomas Crown Affair
1968 (41st),Best Picture,Oliver!
1968 (41st),Short Film (Animated),Winnie the Pooh and the Blustery Day
1968 (41st),Short Film (Live Action),Robert Kennedy Remembered
1968 (41st),Sound,Oliver!
1968 (41st),Visual Effects,2001: A Space Odyssey
1968 (41st),Writing,The Lion in Winter
1968 (41st),Writing,The Producers
1967 (40th),Actor -- Leading Role,Rod Steiger
1967 (40th),Actor -- Supporting Role,George Kennedy
1967 (40th),Actress -- Leading Role,Katharine Hepburn
1967 (40th),Actress -- Supporting Role,Estelle Parsons
1967 (40th),Art Direction,Camelot
1967 (40th),Cinematography,Bonnie and Clyde
1967 (40th),Costume Design,Camelot
1967 (40th),Directing,The Graduate
1967 (40th),Documentary (Feature),The Anderson Platoon
1967 (40th),Documentary (Short Subject),The Redwoods
1967 (40th),Film Editing,In the Heat of the Night
1967 (40th),Foreign Language Film,Closely Watched Trains
1967 (40th),Music (Scoring),Thoroughly Modern Millie
1967 (40th),Music (Scoring),Camelot
1967 (40th),Music (Song),Doctor Dolittle
1967 (40th),Best Picture,In the Heat of the Night
1967 (40th),Short Film (Animated),The Box
1967 (40th),Short Film (Live Action),A Place to Stand
1967 (40th),Sound,In the Heat of the Night
1967 (40th),Sound Editing,The Dirty Dozen
1967 (40th),Visual Effects,Doctor Dolittle
1967 (40th),Writing,In the Heat of the Night
1967 (40th),Writing,Guess Who's Coming to Dinner
1967 (40th),Irving G. Thalberg Memorial Award,Alfred Hitchcock
1966 (39th),Actor -- Leading Role,Paul Scofield
1966 (39th),Actor -- Supporting Role,Walter Matthau
1966 (39th),Actress -- Leading Role,Elizabeth Taylor
1966 (39th),Actress -- Supporting Role,Sandy Dennis
1966 (39th),Art Direction,Who's Afraid of Virginia Woolf?
1966 (39th),Art Direction,Fantastic Voyage
1966 (39th),Cinematography,Who's Afraid of Virginia Woolf?
1966 (39th),Cinematography,A Man for All Seasons
1966 (39th),Costume Design,Who's Afraid of Virginia Woolf?
1966 (39th),Costume Design,A Man for All Seasons
1966 (39th),Directing,A Man for All Seasons
1966 (39th),Documentary (Feature),The War Game
1966 (39th),Documentary (Short Subject),A Year toward Tomorrow
1966 (39th),Film Editing,Grand Prix
1966 (39th),Foreign Language Film,A Man and a Woman
1966 (39th),Music (Scoring),Born Free
1966 (39th),Music (Scoring),A Funny Thing Happened on the Way to the Forum
1966 (39th),Music (Song),Born Free
1966 (39th),Best Picture,A Man for All Seasons
1966 (39th),Short Film (Animated),Herb Alpert and the Tijuana Brass Double Feature
1966 (39th),Short Film (Live Action),Wild Wings
1966 (39th),Sound,Grand Prix
1966 (39th),Sound Editing,Grand Prix
1966 (39th),Visual Effects,Fantastic Voyage
1966 (39th),Writing,A Man for All Seasons
1966 (39th),Writing,A Man and a Woman
1966 (39th),Irving G. Thalberg Memorial Award,Robert Wise
1965 (38th),Actor -- Leading Role,Lee Marvin
1965 (38th),Actor -- Supporting Role,Martin Balsam
1965 (38th),Actress -- Leading Role,Julie Christie
1965 (38th),Actress -- Supporting Role,Shelley Winters
1965 (38th),Art Direction,Ship of Fools
1965 (38th),Art Direction,Doctor Zhivago
1965 (38th),Cinematography,Ship of Fools
1965 (38th),Cinematography,Doctor Zhivago
1965 (38th),Costume Design,Darling
1965 (38th),Costume Design,Doctor Zhivago
1965 (38th),Directing,The Sound of Music
1965 (38th),Documentary (Feature),The Eleanor Roosevelt Story
1965 (38th),Documentary (Short Subject),To Be Alive!
1965 (38th),Film Editing,The Sound of Music
1965 (38th),Foreign Language Film,The Shop on Main Street
1965 (38th),Music (Scoring),Doctor Zhivago
1965 (38th),Music (Scoring),The Sound of Music
1965 (38th),Music (Song),The Sandpiper
1965 (38th),Best Picture,The Sound of Music
1965 (38th),Short Film (Animated),The Dot and the Line
1965 (38th),Short Film (Live Action),The Chicken (Le Poulet)
1965 (38th),Sound,The Sound of Music
1965 (38th),Sound Editing,The Great Race
1965 (38th),Visual Effects,Thunderball
1965 (38th),Writing,Doctor Zhivago
1965 (38th),Writing,Darling
1965 (38th),Irving G. Thalberg Memorial Award,William Wyler
1964 (37th),Actor -- Leading Role,Rex Harrison
1964 (37th),Actor -- Supporting Role,Peter Ustinov
1964 (37th),Actress -- Leading Role,Julie Andrews
1964 (37th),Actress -- Supporting Role,Lila Kedrova
1964 (37th),Art Direction,Zorba the Greek
1964 (37th),Art Direction,My Fair Lady
1964 (37th),Cinematography,Zorba the Greek
1964 (37th),Cinematography,My Fair Lady
1964 (37th),Costume Design,The Night of the Iguana
1964 (37th),Costume Design,My Fair Lady
1964 (37th),Directing,My Fair Lady
1964 (37th),Documentary (Feature),Jacques-Yves Cousteau's World without Sun
1964 (37th),Documentary (Short Subject),Nine from Little Rock
1964 (37th),Film Editing,Mary Poppins
1964 (37th),Foreign Language Film,"Yesterday, Today and Tomorrow"
1964 (37th),Makeup,To William Tuttle for his outstanding make-up achievement for 7 Faces of Dr. Lao.
1964 (37th),Music (Scoring),Mary Poppins
1964 (37th),Music (Scoring),My Fair Lady
1964 (37th),Music (Song),Mary Poppins
1964 (37th),Best Picture,My Fair Lady
1964 (37th),Short Film (Animated),The Pink Phink
1964 (37th),Short Film (Live Action),Casals Conducts: 1964
1964 (37th),Sound,My Fair Lady
1964 (37th),Sound Editing,Goldfinger
1964 (37th),Visual Effects,Mary Poppins
1964 (37th),Writing,Becket
1964 (37th),Writing,Father Goose
1963 (36th),Actor -- Leading Role,Sidney Poitier
1963 (36th),Actor -- Supporting Role,Melvyn Douglas
1963 (36th),Actress -- Leading Role,Patricia Neal
1963 (36th),Actress -- Supporting Role,Margaret Rutherford
1963 (36th),Art Direction,America America
1963 (36th),Art Direction,Cleopatra
1963 (36th),Cinematography,Hud
1963 (36th),Cinematography,Cleopatra
1963 (36th),Costume Design,Federico Fellini's 8-1/2
1963 (36th),Costume Design,Cleopatra
1963 (36th),Directing,Tom Jones
1963 (36th),Documentary (Feature),Robert Frost: A Lover's Quarrel with the World
1963 (36th),Documentary (Short Subject),Chagall
1963 (36th),Film Editing,How the West Was Won
1963 (36th),Foreign Language Film,Federico Fellini's 8-1/2
1963 (36th),Music (Scoring),Tom Jones
1963 (36th),Music (Scoring),Irma La Douce
1963 (36th),Music (Song),Papa's Delicate Condition
1963 (36th),Best Picture,Tom Jones
1963 (36th),Short Film (Animated),The Critic
1963 (36th),Short Film (Live Action),An Occurrence at Owl Creek Bridge
1963 (36th),Sound,How the West Was Won
1963 (36th),Sound Editing,"It's a Mad, Mad, Mad, Mad World"
1963 (36th),Visual Effects,Cleopatra
1963 (36th),Writing,Tom Jones
1963 (36th),Writing,How the West Was Won
1963 (36th),Irving G. Thalberg Memorial Award,Sam Spiegel
1962 (35th),Actor -- Leading Role,Gregory Peck
1962 (35th),Actor -- Supporting Role,Ed Begley
1962 (35th),Actress -- Leading Role,Anne Bancroft
1962 (35th),Actress -- Supporting Role,Patty Duke
1962 (35th),Art Direction,To Kill a Mockingbird
1962 (35th),Art Direction,Lawrence of Arabia
1962 (35th),Cinematography,The Longest Day
1962 (35th),Cinematography,Lawrence of Arabia
1962 (35th),Costume Design,What Ever Happened to Baby Jane?
1962 (35th),Costume Design,The Wonderful World of the Brothers Grimm
1962 (35th),Directing,Lawrence of Arabia
1962 (35th),Documentary (Feature),Black Fox
1962 (35th),Documentary (Short Subject),Dylan Thomas
1962 (35th),Film Editing,Lawrence of Arabia
1962 (35th),Foreign Language Film,Sundays and Cybele
